date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:21	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:21%20GMT	http://html.iwthemes.com/sportscup/run/club-teams.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/club-teams.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:22	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:21%20GMT	http://html.iwthemes.com/sportscup/run/sports.html.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/sports.html.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:22	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:21%20GMT	http://html.iwthemes.com/sportscup/run/sports.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/sports.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:23	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:22%20GMT	http://html.iwthemes.com/sportscup/run/gallergallery-4-colums.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/gallergallery-4-colums.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:23	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:22%20GMT	http://html.iwthemes.com/sportscup/run/gallergallery-2-colums.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/gallergallery-2-colums.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:24	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:23%20GMT	http://html.iwthemes.com/sportscup/run/gallergallery-3-colums.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/gallergallery-3-colums.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:24	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:23%20GMT	http://html.iwthemes.com/sportscup/run/feature-princing-tables.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-princing-tables.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:24	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:23%20GMT	http://html.iwthemes.com/sportscup/run/feature-grid-system.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-grid-system.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:25	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:24%20GMT	http://html.iwthemes.com/sportscup/run/feature-typograpy.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-typograpy.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:25	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:24%20GMT	http://html.iwthemes.com/sportscup/run/feature-icons.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-icons.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:26	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:25%20GMT	http://html.iwthemes.com/sportscup/run/feature-elements.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/feature-elements.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
